Protein IDs,Majority protein IDs,Protein names,Gene names,Fasta headers,Number of proteins,Peptides,Razor + unique peptides,Unique peptides,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Q-value,Score,WT_Rep1,WT_Rep2,WT_Rep3,WT_Rep4,WT_Rep5,Mut_Rep1,Mut_Rep2,Mut_Rep3,Mut_Rep4,Mut_Rep5
P24527,P24527,Leukotriene A-4 hydrolase,Lta4h,>sp|P24527|LKHA4_MOUSE Leukotriene A-4 hydrolase OS=Mus musculus GN=Lta4h PE=1 SV=4,1,4,4,4,7,7,7,0,11.395,595619.2298,599282.0052,610992.8198,615832.15,629181.2764,529126.1324,536080.6551,543380,511059.7917,567115.9627
Q542X7;P80314;REV__A0A0A6YXH7;REV__Q8VHR0,Q542X7;P80314,T-complex protein 1 subunit beta,Cct2,">tr|Q542X7|Q542X7_MOUSE Chaperonin subunit 2 (Beta), isoform CRA_a OS=Mus musculus GN=Cct2 PE=1 SV=1;>sp|P80314|TCPB_MOUSE T-complex protein 1 subunit beta OS=Mus musculus GN=Cct2 PE=1 SV=4",4,3,3,3,5,5,5,0,23.243,1283750.807,1341247.208,1325316.896,1343442.583,1273932.701,653280.5393,647736.8094,578570,594348.3639,567342.2895
E9PYF1;Q8VCT3,E9PYF1;Q8VCT3,Aminopeptidase B,Rnpep,>tr|E9PYF1|E9PYF1_MOUSE Aminopeptidase B OS=Mus musculus GN=Rnpep PE=1 SV=1;>sp|Q8VCT3|AMPB_MOUSE Aminopeptidase B OS=Mus musculus GN=Rnpep PE=1 SV=2,2,4,4,4,6.4,6.4,6.4,0,8.8288,648091.2741,654053.7394,641668.7079,626564.5972,626858.9704,575256.2274,578146.6469,553400,590764.7944,568247.5968
A0A0R4J107;Q8R146-2;Q8R146;A0A0A6YXV0,A0A0R4J107;Q8R146-2;Q8R146,Acylamino-acid-releasing enzyme,Apeh,>tr|A0A0R4J107|A0A0R4J107_MOUSE Acylamino-acid-releasing enzyme (Fragment) OS=Mus musculus GN=Apeh PE=1 SV=1;>sp|Q8R146-2|APEH_MOUSE Isoform 2 of Acylamino-acid-releasing enzyme OS=Mus musculus GN=Apeh;>sp|Q8R146|APEH_MOUSE Acylamino-acid-releasing enzyme ,4,3,3,3,3.4,3.4,3.4,0,4.9285,786607.374,744417.6682,789090.7663,761663.529,808590.4233,568723.3245,594039.3474,580810,542306.3778,568513.2848
A7VMV2;Q99KP3,A7VMV2;Q99KP3,Lambda-crystallin homolog,Cryl1,">tr|A7VMV2|A7VMV2_MOUSE Crystallin, lamda 1, isoform CRA_a OS=Mus musculus GN=Cryl1 PE=1 SV=1;>sp|Q99KP3|CRYL1_MOUSE Lambda-crystallin homolog OS=Mus musculus GN=Cryl1 PE=1 SV=3",2,2,2,2,5,5,5,0,4.0751,1045086.62,988217.9131,975652.5168,1001736.31,976941.8696,602158.1365,622745.5378,583670,597921.2361,569566.1965
F6X9P4;D3YWS7;F6SJM7;Q8R2K1-5;Q8R2K1-4;Q8R2K1-2;Q8R2K1;Q8R2K1-3,F6X9P4;D3YWS7;F6SJM7;Q8R2K1-5;Q8R2K1-4;Q8R2K1-2;Q8R2K1;Q8R2K1-3,Fucose mutarotase,Fuom,>tr|F6X9P4|F6X9P4_MOUSE Fucose mutarotase (Fragment) OS=Mus musculus GN=Fuom PE=1 SV=1;>tr|D3YWS7|D3YWS7_MOUSE Fucose mutarotase OS=Mus musculus GN=Fuom PE=1 SV=1;>tr|F6SJM7|F6SJM7_MOUSE Fucose mutarotase (Fragment) OS=Mus musculus GN=Fuom PE=1 SV=1;>sp|Q8,8,1,1,1,7.3,7.3,7.3,0.015385,1.6258,465862.1434,467370.792,453754.9711,469852.3107,472239.9673,480519.3847,544583.2499,547870,525468.95,573423.5927
P99026,P99026,Proteasome subunit beta type-4,Psmb4,>sp|P99026|PSB4_MOUSE Proteasome subunit beta type-4 OS=Mus musculus GN=Psmb4 PE=1 SV=1,1,2,2,2,9.1,9.1,9.1,0,6.5752,853877.6075,836165.0392,835947.2748,845172.4841,831750.5475,628494.5107,572286.2136,560460,620374.7056,575765.5832
G3X9Q1;Q61738-4;Q61738-2;Q61738-5;Q61738-3;Q61738-6;Q61738,G3X9Q1;Q61738-4;Q61738-2;Q61738-5;Q61738-3;Q61738-6;Q61738,Integrin alpha-7;Integrin alpha-7 heavy chain;Integrin alpha-7 light chain,Itga7,>tr|G3X9Q1|G3X9Q1_MOUSE Integrin alpha 7 OS=Mus musculus GN=Itga7 PE=1 SV=1;>sp|Q61738-4|ITA7_MOUSE Isoform Alpha-7X2A of Integrin alpha-7 OS=Mus musculus GN=Itga7;>sp|Q61738-2|ITA7_MOUSE Isoform Alpha-7X1A of Integrin alpha-7 OS=Mus musculus GN=Itga7;>sp|,7,1,1,1,0.6,0.6,0.6,0.018299,1.5365,284232.5129,287234.0415,283768.942,273637.1954,287556.8573,567631.2571,556244.519,564090,603162.875,576985.78
P80316;E0CZA1,P80316;E0CZA1,T-complex protein 1 subunit epsilon,Cct5,>sp|P80316|TCPE_MOUSE T-complex protein 1 subunit epsilon OS=Mus musculus GN=Cct5 PE=1 SV=1;>tr|E0CZA1|E0CZA1_MOUSE T-complex protein 1 subunit epsilon (Fragment) OS=Mus musculus GN=Cct5 PE=1 SV=1,2,2,2,2,2.6,2.6,2.6,0.0014368,2.6966,827499.5985,734544.9216,869036.983,801685.969,881909.8382,601465.8438,612286.1542,584500,580859.1667,580587.3285
P26043;Q7TSG6,P26043;Q7TSG6,Radixin,Rdx,>sp|P26043|RADI_MOUSE Radixin OS=Mus musculus GN=Rdx PE=1 SV=3;>tr|Q7TSG6|Q7TSG6_MOUSE Radixin OS=Mus musculus GN=Rdx PE=1 SV=1,2,9,4,4,12.5,5.3,5.3,0,8.2891,784524.8996,694236.4468,761433.6967,734445.7955,747480.4216,624633.2726,618494.2404,579180,594583.7028,585960.1303
A0A075B5R1;P01783,A0A075B5R1;P01783,Ig heavy chain V region MOPC 21,Ighv5-17,>tr|A0A075B5R1|A0A075B5R1_MOUSE Protein Ighv5-17 (Fragment) OS=Mus musculus GN=Ighv5-17 PE=4 SV=1;>sp|P01783|HVM16_MOUSE Ig heavy chain V region MOPC 21 (Fragment) OS=Mus musculus PE=1 SV=1,2,3,1,1,26.5,9.4,9.4,0.0060533,2.0212,225853.814,212955.7724,238363.1949,215075.7674,230040.4511,473947.4794,528154.1708,518960,572986.0111,595485.5372
Q9CPY7-2;Q9CPY7;A0A0G2JEM7,Q9CPY7-2;Q9CPY7,Cytosol aminopeptidase,Lap3,>sp|Q9CPY7-2|AMPL_MOUSE Isoform 2 of Cytosol aminopeptidase OS=Mus musculus GN=Lap3;>sp|Q9CPY7|AMPL_MOUSE Cytosol aminopeptidase OS=Mus musculus GN=Lap3 PE=1 SV=3,3,4,4,4,8.8,8.8,8.8,0,34.125,948156.9029,998593.7296,1076526.739,1009221.187,980403.3012,690069.5582,655782.489,640980,648273.0611,596823.8176
D6RH67;Q8BXJ9,D6RH67;Q8BXJ9,Transmembrane protein 62,Tmem62,>tr|D6RH67|D6RH67_MOUSE Transmembrane protein 62 OS=Mus musculus GN=Tmem62 PE=1 SV=1;>sp|Q8BXJ9|TMM62_MOUSE Transmembrane protein 62 OS=Mus musculus GN=Tmem62 PE=2 SV=1,2,1,1,1,2.4,2.4,2.4,0.048341,1.0882,1739118.542,1746658.654,1724368.9,1679272.299,1671745.596,688051.1837,631486.5231,664550,596669.6611,596902.5399
Q80YA9-2;Q80YA9,Q80YA9-2;Q80YA9,Connector enhancer of kinase suppressor of ras 2,Cnksr2,>sp|Q80YA9-2|CNKR2_MOUSE Isoform 2 of Connector enhancer of kinase suppressor of ras 2 OS=Mus musculus GN=Cnksr2;>sp|Q80YA9|CNKR2_MOUSE Connector enhancer of kinase suppressor of ras 2 OS=Mus musculus GN=Cnksr2 PE=1 SV=1,2,1,1,1,0.9,0.9,0.9,1,-2,64051.86399,84157.30405,62049.3764,89391.69705,63929.49502,391905.9197,460868.4498,584650,394064.2722,599766.0662
A0A0R4J034;Q99K01-3;Q99K01;Q99K01-2;Q99K01-4,A0A0R4J034;Q99K01-3;Q99K01;Q99K01-2;Q99K01-4,Pyridoxal-dependent decarboxylase domain-containing protein 1,Pdxdc1,">tr|A0A0R4J034|A0A0R4J034_MOUSE MCG129810, isoform CRA_c OS=Mus musculus GN=Pdxdc1 PE=1 SV=1;>sp|Q99K01-3|PDXD1_MOUSE Isoform 3 of Pyridoxal-dependent decarboxylase domain-containing protein 1 OS=Mus musculus GN=Pdxdc1;>sp|Q99K01|PDXD1_MOUSE Pyridoxal-depe",5,2,2,2,3.4,3.4,3.4,0,4.6918,539859.4002,516011.3619,546622.2251,509392.2544,530914.3798,551152.7409,631287.8643,617390,609591.9056,600051.4348
A0A0B4J1H6;P01630,A0A0B4J1H6;P01630,Ig kappa chain V-II region 7S34.1,,>tr|A0A0B4J1H6|A0A0B4J1H6_MOUSE Protein Igkv2-137 (Fragment) OS=Mus musculus GN=Igkv2-137 PE=4 SV=1;>sp|P01630|KV2A6_MOUSE Ig kappa chain V-II region 7S34.1 OS=Mus musculus PE=1 SV=1,2,3,3,3,20,20,20,0,25.488,382443.2675,394438.2348,367376.0164,383943.2463,393785.0466,641336.0527,600098.4395,632020,606864.1139,609439.0776
E9QQ96;Z4YJE4;H7BX05;A2AAJ9-2;A2AAJ9,E9QQ96;Z4YJE4;H7BX05;A2AAJ9-2;A2AAJ9,Obscurin,Obscn,>tr|E9QQ96|E9QQ96_MOUSE Obscurin OS=Mus musculus GN=Obscn PE=1 SV=2;>tr|Z4YJE4|Z4YJE4_MOUSE Obscurin OS=Mus musculus GN=Obscn PE=1 SV=1;>tr|H7BX05|H7BX05_MOUSE Obscurin OS=Mus musculus GN=Obscn PE=1 SV=2;>sp|A2AAJ9-2|OBSCN_MOUSE Isoform 2 of Obscurin OS=Mu,5,3,3,3,2.1,2.1,2.1,0,5.4786,487229.5928,468464.969,505315.6508,483219.9293,523462.8616,606370.3963,640038.7826,601940,646668.4778,611190.6503
Q91V76,Q91V76,Ester hydrolase C11orf54 homolog,,>sp|Q91V76|CK054_MOUSE Ester hydrolase C11orf54 homolog OS=Mus musculus PE=1 SV=1,1,3,3,3,8.6,8.6,8.6,0,5.5551,862270.6104,866978.0699,817673.8538,829151.1365,795436.9832,626388.3808,644141.0859,612880,614352.1694,612893.0216
E9Q6L4;Q60949-2;Q60949,E9Q6L4;Q60949-2;Q60949,TBC1 domain family member 1,Tbc1d1,>tr|E9Q6L4|E9Q6L4_MOUSE TBC1 domain family member 1 OS=Mus musculus GN=Tbc1d1 PE=1 SV=1;>sp|Q60949-2|TBCD1_MOUSE Isoform 2 of TBC1 domain family member 1 OS=Mus musculus GN=Tbc1d1;>sp|Q60949|TBCD1_MOUSE TBC1 domain family member 1 OS=Mus musculus GN=Tbc1d1,3,1,1,1,0.6,0.6,0.6,0.05268,1.0071,81443.68046,83478.1597,85107.22347,97878.68123,99777.33943,513827.4389,550235.0916,590550,581329.8444,613011.1051
A0A0A6YXX3;A0A0A6YXL6;E9Q3Y4;Q9ESE1-3;Q9ESE1-2;Q9ESE1;A0A0A6YXZ8;J3KMG9;Q8BSM6;P97357,A0A0A6YXX3;A0A0A6YXL6;E9Q3Y4;Q9ESE1-3;Q9ESE1-2;Q9ESE1,Lipopolysaccharide-responsive and beige-like anchor protein,Lrba,>tr|A0A0A6YXX3|A0A0A6YXX3_MOUSE Lipopolysaccharide-responsive and beige-like anchor protein OS=Mus musculus GN=Lrba PE=1 SV=1;>tr|A0A0A6YXL6|A0A0A6YXL6_MOUSE Lipopolysaccharide-responsive and beige-like anchor protein OS=Mus musculus GN=Lrba PE=1 SV=1;>tr|,10,5,5,5,1.8,1.8,1.8,0,9.9702,1034169.406,997461.8223,991950.4328,998828.9615,984116.4733,611674.7234,620600.0232,620640,583950.6639,614861.0809
H9KV07;Q7TNH6,H9KV07;Q7TNH6,Nephrocystin-3,Nphp3,>tr|H9KV07|H9KV07_MOUSE Nephrocystin-3 OS=Mus musculus GN=Nphp3 PE=1 SV=2;>sp|Q7TNH6|NPHP3_MOUSE Nephrocystin-3 OS=Mus musculus GN=Nphp3 PE=1 SV=2,2,1,1,1,1.3,1.3,1.3,0.020343,1.5114,117199.1348,130810.7479,121092.2812,140431.1332,143680.8792,456991.1837,1313531.7,1125000,669496.35,616032.0761
Q08642;E9QAM4;Q9Z184;Q9Z183,Q08642;E9QAM4;Q9Z184;Q9Z183,Protein-arginine deiminase type-2;Protein-arginine deiminase type-3;Protein-arginine deiminase type-4,Padi2;Padi3;Padi4,>sp|Q08642|PADI2_MOUSE Protein-arginine deiminase type-2 OS=Mus musculus GN=Padi2 PE=1 SV=2;>tr|E9QAM4|E9QAM4_MOUSE Protein-arginine deiminase type-3 OS=Mus musculus GN=Padi3 PE=4 SV=1;>sp|Q9Z184|PADI3_MOUSE Protein-arginine deiminase type-3 OS=Mus musculu,4,2,2,2,2.4,2.4,2.4,0,3.6489,728929.1438,700021.7505,834650.8496,684402.2809,654525.2492,581467.3604,576189.8581,591320,599846.7361,619613.944
Q540D7;Q9JII6;B1AXW3;Q8CEB6;REV__Q9QYH6;Q9D5R4-2;Q9DCT1;Q9D5R4,Q540D7;Q9JII6;B1AXW3,Alcohol dehydrogenase [NADP(+)],Akr1a1,>tr|Q540D7|Q540D7_MOUSE Alcohol dehydrogenase [NADP(+)] OS=Mus musculus GN=Akr1a1 PE=1 SV=1;>sp|Q9JII6|AK1A1_MOUSE Alcohol dehydrogenase [NADP(+)] OS=Mus musculus GN=Akr1a1 PE=1 SV=3;>tr|B1AXW3|B1AXW3_MOUSE Alcohol dehydrogenase [NADP(+)] (Fragment) OS=Mus,8,5,5,5,13.5,13.5,13.5,0,14.766,1212631.151,1293141.15,1239999.776,1259191.326,1179907.632,675375.4019,661364.8001,626930,629317.5833,623864.9521
A0A075B5M2;A0A075B5M3;A0A0G2JH00;A0A0G2JGI6;A0A075B5L2;P01680,A0A075B5M2;A0A075B5M3;A0A0G2JH00;A0A0G2JGI6;A0A075B5L2;P01680,Ig kappa chain V-IV region S107B,Igkv4-61;Igkv4-58;Igkv4-91,>tr|A0A075B5M2|A0A075B5M2_MOUSE Protein Igkv4-61 OS=Mus musculus GN=Igkv4-61 PE=4 SV=6;>tr|A0A075B5M3|A0A075B5M3_MOUSE Protein Igkv4-58 OS=Mus musculus GN=Igkv4-58 PE=1 SV=1;>tr|A0A0G2JH00|A0A0G2JH00_MOUSE Protein Igkv4-61 (Fragment) OS=Mus musculus GN=Igk,6,1,1,1,11.6,11.6,11.6,0.0061652,2.0722,315450.6973,325203.2413,329230.2501,311333.7563,320918.7645,600724.7981,559045.6074,615100,608917.9806,624081.4386
P01027;CON__Q2UVX4;P01027-2,P01027;CON__Q2UVX4;P01027-2,Complement C3;Complement C3 beta chain;C3-beta-c;Complement C3 alpha chain;C3a anaphylatoxin;Acylation stimulating protein;Complement C3b alpha chain;Complement C3c alpha chain fragment 1;Complement C3dg fragment;Complement C3g fragment;Complement C3d fragment;Complement C3f fragment;Complement C3c alpha chain fragment 2,C3,>sp|P01027|CO3_MOUSE Complement C3 OS=Mus musculus GN=C3 PE=1 SV=3;>Q2UVX4 SWISS-PROT:Q2UVX4 (Bos taurus) Complement C3 precursor;>sp|P01027-2|CO3_MOUSE Isoform Short of Complement C3 OS=Mus musculus GN=C3,3,4,4,4,2,2,2,0,7.8016,753540.2048,750454.5069,730689.9006,768529.8209,779262.6573,663528.4213,659259.0173,611790,639362.275,624711.2176
Q8BTZ7,Q8BTZ7,Mannose-1-phosphate guanyltransferase beta,Gmppb,>sp|Q8BTZ7|GMPPB_MOUSE Mannose-1-phosphate guanyltransferase beta OS=Mus musculus GN=Gmppb PE=1 SV=1,1,2,2,2,6.1,6.1,6.1,0,12.098,442412.2196,412844.3044,423955.7134,409812.4649,423975.0237,593109.5784,612077.5625,608590,637083.7667,630280.8253
Q58ET1;P12970;A0A140T8L3;A0A140T8L1;V9GX35;F6VBB8;Q99NF7;Q8VHS6;Q9Z0H8-2;Q9Z0H8,Q58ET1;P12970;A0A140T8L3;A0A140T8L1;V9GX35;F6VBB8,60S ribosomal protein L7a,Rpl7a;Gm14214;Gm4978,>tr|Q58ET1|Q58ET1_MOUSE 60S ribosomal protein L7a OS=Mus musculus GN=Rpl7a PE=1 SV=1;>sp|P12970|RL7A_MOUSE 60S ribosomal protein L7a OS=Mus musculus GN=Rpl7a PE=1 SV=2;>tr|A0A140T8L3|A0A140T8L3_MOUSE Protein Rpl7a-ps5 OS=Mus musculus GN=Rpl7a-ps5 PE=4 SV=1,10,6,6,6,23.3,23.3,23.3,0,28.303,993529.6026,967340.5127,1010347.323,1001550.735,988647.8019,635105.4184,628864.2275,625150,623455.5056,636706.5389
P50580;P50580-2;D3YVH7,P50580;P50580-2;D3YVH7,Proliferation-associated protein 2G4,Pa2g4,>sp|P50580|PA2G4_MOUSE Proliferation-associated protein 2G4 OS=Mus musculus GN=Pa2g4 PE=1 SV=3;>sp|P50580-2|PA2G4_MOUSE Isoform 2 of Proliferation-associated protein 2G4 OS=Mus musculus GN=Pa2g4;>tr|D3YVH7|D3YVH7_MOUSE Proliferation-associated protein 2G4 ,3,4,4,4,10.2,10.2,10.2,0,14.616,1343953.249,1278552.123,1303277.669,1280037.636,1303512.208,683721.9167,709172.0299,656940,647385.1917,639796.392
E9PWK0;Q3ULA4;Q91VA1,E9PWK0;Q3ULA4;Q91VA1,Choline transporter-like protein 4,Slc44a4,>tr|E9PWK0|E9PWK0_MOUSE Choline transporter-like protein 4 OS=Mus musculus GN=Slc44a4 PE=3 SV=1;>tr|Q3ULA4|Q3ULA4_MOUSE Choline transporter-like protein 4 OS=Mus musculus GN=Slc44a4 PE=2 SV=1;>sp|Q91VA1|CTL4_MOUSE Choline transporter-like protein 4 OS=Mus ,3,1,1,1,2,2,2,0.0037927,2.1982,451209.0963,457057.8592,448013.6598,435910.5598,429110.5295,499854.8272,571610.7738,617390,570557.7417,642197.4243
Q4VAG4;P67984,Q4VAG4;P67984,60S ribosomal protein L22,Rpl22,>tr|Q4VAG4|Q4VAG4_MOUSE 60S ribosomal protein L22 OS=Mus musculus GN=Rpl22 PE=1 SV=1;>sp|P67984|RL22_MOUSE 60S ribosomal protein L22 OS=Mus musculus GN=Rpl22 PE=1 SV=2,2,2,2,2,13.3,13.3,13.3,0,4.6542,778529.8976,825914.9902,789214.2353,799459.0635,855036.5419,684258.1998,691550.9982,653150,633189.9778,646556.6756
Q9Z1Z0;Q9Z1Z0-4;Q9Z1Z0-3;Q9Z1Z0-2,Q9Z1Z0;Q9Z1Z0-4,General vesicular transport factor p115,Uso1,>sp|Q9Z1Z0|USO1_MOUSE General vesicular transport factor p115 OS=Mus musculus GN=Uso1 PE=1 SV=2;>sp|Q9Z1Z0-4|USO1_MOUSE Isoform 4 of General vesicular transport factor p115 OS=Mus musculus GN=Uso1,4,4,4,4,3.9,3.9,3.9,0,10.851,1030446.194,1008214.941,1005038.153,1001736.31,1002556.463,686666.5983,645054.9162,673360,663377.5389,650345.1897
A0A075B5V7;A0A075B5V6;A0A0A6YY38;A0A0A6YXN5,A0A075B5V7;A0A075B5V6;A0A0A6YY38;A0A0A6YXN5,,Ighv1-43;Ighv1-42,>tr|A0A075B5V7|A0A075B5V7_MOUSE Protein Ighv1-43 OS=Mus musculus GN=Ighv1-43 PE=4 SV=1;>tr|A0A075B5V6|A0A075B5V6_MOUSE Protein Ighv1-42 OS=Mus musculus GN=Ighv1-42 PE=1 SV=1;>tr|A0A0A6YY38|A0A0A6YY38_MOUSE Protein Ighv1-42 (Fragment) OS=Mus musculus GN=Igh,4,3,1,1,31.6,10.2,10.2,0,4.8849,359144.7964,323247.5572,332255.2421,320705.3168,444391.1767,756081.1293,679085.1612,699430,754432.2944,651909.7969
A0A0G2JE99;P01843,A0A0G2JE99;P01843,Ig lambda-1 chain C region,,>tr|A0A0G2JE99|A0A0G2JE99_MOUSE Protein Iglc1 (Fragment) OS=Mus musculus GN=Iglc1 PE=4 SV=1;>sp|P01843|LAC1_MOUSE Ig lambda-1 chain C region OS=Mus musculus PE=1 SV=1,2,2,2,2,34,34,34,0,13.077,420420.0279,432143.323,437710.1667,442659.3205,543967.1237,690371.8268,638519.0431,660830,651664.0806,655019.3305
O08997,O08997,Copper transport protein ATOX1,Atox1,>sp|O08997|ATOX1_MOUSE Copper transport protein ATOX1 OS=Mus musculus GN=Atox1 PE=1 SV=1,1,1,1,1,11.8,11.8,11.8,0.0083532,1.8981,446047.084,446373.9125,452433.8522,436003.3475,445278.5619,305398.5846,620659.6208,602580,578045.7972,657873.0165
D3Z494;G5E895;Q5M9J9;P21300;S4R2G9;P45377,D3Z494;G5E895;Q5M9J9;P21300,Aldose reductase-related protein 1,Akr1b10;Akr1b7,">tr|D3Z494|D3Z494_MOUSE MCG142264, isoform CRA_a OS=Mus musculus GN=Akr1b10 PE=1 SV=1;>tr|G5E895|G5E895_MOUSE MCG142264, isoform CRA_b OS=Mus musculus GN=Akr1b10 PE=1 SV=1;>tr|Q5M9J9|Q5M9J9_MOUSE Aldo-keto reductase family 1, member B7 OS=Mus musculus GN=A",6,3,3,3,8.3,8.3,8.3,0,14.098,966709.8566,971176.4206,981332.0936,970312.1998,1007905.949,704285.9349,721776.928,713420,727550.175,658502.7955
Q6JHY2-5;F6VRN1;D3Z1E5;Q6JHY2-4,Q6JHY2-5;F6VRN1,Submandibular gland protein C,Muc19;Smgc,>sp|Q6JHY2-5|SMGC_MOUSE Isoform 6 of Submandibular gland protein C OS=Mus musculus GN=Muc19;>tr|F6VRN1|F6VRN1_MOUSE Submandibular gland protein C (Fragment) OS=Mus musculus GN=Smgc PE=1 SV=1,4,43,2,2,94.2,9.3,9.3,0,92.507,128097.4175,118372.3449,122765.287,136960.8722,131270.0735,658497.111,656388.3982,721030,737862.2972,660520.0562
Q8BW00,Q8BW00,Probable peptidyl-tRNA hydrolase,Ptrh1,>sp|Q8BW00|PTH_MOUSE Probable peptidyl-tRNA hydrolase OS=Mus musculus GN=Ptrh1 PE=2 SV=1,1,1,1,1,13.7,13.7,13.7,0.014477,1.6708,404435.4592,444374.2097,446636.9798,403274.023,461068.9835,471451.3255,623589.8375,665080,652808.6833,665115.4746
A0A0A6YYE7,A0A0A6YYE7,,,>tr|A0A0A6YYE7|A0A0A6YYE7_MOUSE Protein Igkv4-57 (Fragment) OS=Mus musculus GN=Igkv4-57 PE=4 SV=2,1,3,3,1,39.3,39.3,12,0,46.069,628604.3621,638961.6427,656546.7297,651802.8592,662832.6851,640438.9973,653170.1264,658600,663987.2806,666217.5878
Q61233;B1AX58;Q99K51;D3YZ25;D3YVW8;D3Z7D9;D3Z311,Q61233;B1AX58;Q99K51,Plastin-2;Plastin-3,Lcp1;Pls3,>sp|Q61233|PLSL_MOUSE Plastin-2 OS=Mus musculus GN=Lcp1 PE=1 SV=4;>tr|B1AX58|B1AX58_MOUSE Plastin-3 OS=Mus musculus GN=Pls3 PE=1 SV=1;>sp|Q99K51|PLST_MOUSE Plastin-3 OS=Mus musculus GN=Pls3 PE=1 SV=3,7,5,5,5,8.8,8.8,8.8,0,9.5103,635217.796,670403.5108,661115.085,662380.6602,650937.9474,651379.172,665188.9812,632390,664671.9028,666601.3594
G5E8B4;Q6UGQ3,G5E8B4;Q6UGQ3,Secretoglobin family 2B member 2,Scgb2b2,>tr|G5E8B4|G5E8B4_MOUSE MCG147827 OS=Mus musculus GN=Scgb2b2 PE=1 SV=1;>sp|Q6UGQ3|SG2B2_MOUSE Secretoglobin family 2B member 2 OS=Mus musculus GN=Scgb2b2 PE=2 SV=1,2,1,1,1,11.4,11.4,11.4,0.0060901,2.0328,193594.3925,177086.8893,189568.2222,196066.6549,196754.066,592378.2833,599869.9819,631150,665495.5889,668106.9247
Q8K157,Q8K157,Aldose 1-epimerase,Galm,>sp|Q8K157|GALM_MOUSE Aldose 1-epimerase OS=Mus musculus GN=Galm PE=1 SV=1,1,2,2,2,8.5,8.5,8.5,0,8.1634,544762.6809,542064.0937,553740.2164,529156.0405,576882.1915,624282.2509,650965.0142,669410,659740.4833,668569.4187
F6T930;Q8BH95,F6T930;Q8BH95,"Enoyl-CoA hydratase, mitochondrial",Echs1,">tr|F6T930|F6T930_MOUSE Enoyl-CoA hydratase, mitochondrial (Fragment) OS=Mus musculus GN=Echs1 PE=1 SV=1;>sp|Q8BH95|ECHM_MOUSE Enoyl-CoA hydratase, mitochondrial OS=Mus musculus GN=Echs1 PE=1 SV=1",2,2,2,2,6.8,6.8,6.8,0.0013514,2.433,680653.601,667699.5101,652966.127,669927.3954,657294.3945,532402.3345,616328.8599,623040,628076.7056,670202.9079
Q3U6G1;Q923D2;E9PZC4;A0A0U1RPU7;E9PZC3,Q3U6G1;Q923D2;E9PZC4;A0A0U1RPU7;E9PZC3,Flavin reductase (NADPH),Blvrb,>tr|Q3U6G1|Q3U6G1_MOUSE Biliverdin reductase B (Flavin reductase (NADPH)) OS=Mus musculus GN=Blvrb PE=1 SV=1;>sp|Q923D2|BLVRB_MOUSE Flavin reductase (NADPH) OS=Mus musculus GN=Blvrb PE=1 SV=3;>tr|E9PZC4|E9PZC4_MOUSE Flavin reductase (NADPH) OS=Mus musculus,5,3,3,3,11.7,11.7,11.7,0,6.5817,683430.2335,672730.209,680191.0548,678216.4324,707831.296,627051.4217,643763.6343,661780,639950.6222,670547.3183
P40936,P40936,Indolethylamine N-methyltransferase,Inmt,>sp|P40936|INMT_MOUSE Indolethylamine N-methyltransferase OS=Mus musculus GN=Inmt PE=1 SV=1,1,3,3,3,12.5,12.5,12.5,0,17.43,678003.179,681785.467,706736.9029,675618.376,676174.9305,688187.6921,670811.024,659560,702604.2528,672712.1835
Q5M9J8;P41105;F6Z0X0,Q5M9J8;P41105,60S ribosomal protein L28,Rpl28,>tr|Q5M9J8|Q5M9J8_MOUSE 60S ribosomal protein L28 OS=Mus musculus GN=Rpl28 PE=1 SV=1;>sp|P41105|RL28_MOUSE 60S ribosomal protein L28 OS=Mus musculus GN=Rpl28 PE=1 SV=2,3,4,4,4,28.5,28.5,28.5,0,7.6059,881139.0905,882761.8877,876939.0029,879875.0944,889336.1824,618636.6527,623679.2339,654330,634398.7639,677494.5675
Q9CRA5,Q9CRA5,Golgi phosphoprotein 3,Golph3,>sp|Q9CRA5|GOLP3_MOUSE Golgi phosphoprotein 3 OS=Mus musculus GN=Golph3 PE=1 SV=1,1,1,1,1,2.3,2.3,2.3,0.013498,1.6954,459923.9361,435715.1192,444426.8836,421083.0809,406862.9645,354112.5889,521250.779,605910,638763.2306,678193.2286
A0A087WNS9;A0A087WQ65;A0A087WRZ2;A0A087WNT2;A0A087WPY4;Q99JA5;Q64253,A0A087WNS9;A0A087WQ65;A0A087WRZ2;A0A087WNT2;A0A087WPY4;Q99JA5;Q64253,Lymphocyte antigen 6E,Ly6e,>tr|A0A087WNS9|A0A087WNS9_MOUSE Lymphocyte antigen 6E (Fragment) OS=Mus musculus GN=Ly6e PE=1 SV=5;>tr|A0A087WQ65|A0A087WQ65_MOUSE Lymphocyte antigen 6E (Fragment) OS=Mus musculus GN=Ly6e PE=1 SV=1;>tr|A0A087WRZ2|A0A087WRZ2_MOUSE Lymphocyte antigen 6E (Fra,7,1,1,1,21.9,21.9,21.9,0,32.753,850280.6063,814973.2201,834650.8496,839110.3526,787507.158,683799.9215,679105.0271,682170,642731.9,680082.5655
